"id","name","ingredients","allergens","tag"
0,"Steak Met Potatoes","Steak, Kale, Potatoes, Shallot, Sour Cream, Black Peppercorn, Beef Stock","Milk","Gluten-free, Easy, Meat and Veggies, High protein"
1,"Hearty Steak and Potatoes","Steak, Balsamic Vinegar, Potatoes, Soy Sauce, Rosemary, Onion, Cabbage, Mustard Seeds, Wine Vinegar, Cranberry Jam","Soy, Wheat","Gluten-free, Easy, Meat and veggies, High protein"
2,"Mozzarella-Crusted Chicken","Chicken Breasts, Mozzarella, Breadcrumbs, Tomato, Paprika, Potatoes, Oregano","Milk, Wheat","Medium, Mediterranean, Family-friendly"
3,"Winner Winner Chicken Orzo Dinner","Zucchini, Italian Seasoning, Tomato, Orzo Pasta, Fresh Mozzarella, Parsley, Parmesan Cheese, Lemon, Chicken Breasts","Wheat, Milk","Easy, One pot meal, Mediterranean, Family-friendly"
4,"Rapid Stir-Fried Beef","Beef, Scallions, Garlic, Cornstarch, Noodles, Soy Sauce, Broccoli, Sriracha, Sesame Oil, Ketchup, Ginger","Soy, Wheat, Eggs","Rapid, Spicy, Asian, Tasty"
5,"Ginger Beef Stir-Fry","Beef, Basmati Rice, Asparagus, Garlic, Ginger, Scallions, Sesame Seeds, Soy Sauce","Soy, Wheat","Gluten-free, Easy, High protein, Asian, Succulent"
6,"Creamy Shrimp Tagliatelle","Garlic, Chili Pepper, Tomatoes, Scallions, Shrimp, Sour Cream, Tagliatelle Pasta, Lemon","Shellfish, Eggs, Wheat, Milk","Spicy, Mediterranean, Fishetarian, High carbs"
7,"Balsamic Chicken Rustico","Chicken Breasts, Tomato, Garlic, Onion, Baby Carrots, Potatoes, Honey, Balsamic Vinegar","Milk","Gluten-Free, Mediterranean, One pot, Under 650 calories, Family-friendly"
8,"Korean Beef Bibimbap","Zucchini, Mushrooms, Carrots, Scallions, Ginger, Garlic, Basmati Rice, Wine Vinegar, Sesame Oil, Sriracha, Ground Beef, Soy Sauce","Soy, Wheat","Spicy, Asian, Easy"
9,"Lemony Shrimp Risotto","Shrimp, Arborio Rice, Chicken Stock, Garlic, Thyme, Lemon, Zucchini, Onion, Parmesan","Shellfish, Milk","Eat First, Gluten-Free, Contains shellfish, Hard, Mediterranean"
10,"Parmesan-Crusted Cod","Cod Fillets, Potatoes, Garlic, Lemon, Carrots, Parsley, Breadcrumbs, Parmesan, Oregano","Fish, Wheat, Milk","Eat first, Contains shellfish, Easy, Fishetarian"
11,"Melty Monterey Jack Burger","Onion, Garlic, Zucchini, Ground Beef, Oregano, Ketchup, Mozzarella, Breadcrumbs, Mayonnaise, Balsamic Vinegar","Eggs, Wheat, Milk, Soy","Medium, Burger, American, Gourmet"
12,"Meatloaf Balsamico","Ground Beef, Potatoes, Garlic, Parsley, Breadcrumbs, Onion, Ketchup, Green Beans, Balsamic Vinegar, Honey, Almonds","Wheat, Tree Nuts, Milk","Medium, Gourmet, French"
13,"Perfect Penne Bake","Chicken Sausage, Onion, Tomatoes, Penne, Thyme, Garlic, Kale, Parmesan, Mozzarella","Wheat, Milk","Spicy, Italian, Mediterranean, Easy, Low carbon intensive"
14,"Creamy Dill Chicken","Dill, Potatoes, Chicken Breasts, Green Beans, Chicken Stock, Sour Cream, Dijon Mustard","Milk","Gluten-free, Creamy, Easy, Under 500 calories"
15,"Shrimp and Zucchini Ribbons","Scallions, Basmati Rice, Zucchini, Shrimp, Chili Flakes, Lemon","Shellfish, Milk","Spicy, Mediterranean, Easy, Fishetarian"
16,"Rapid Butternut Squash Agnolotti","Butternut, Kale, Shallot, Garlic, Parmesan, Pine Nuts","Eggs, Milk, Wheat, Tree Nuts","Rapid, Veggie, Easy, Italian"
17,"Sweet Potato and Black Bean Tacos","Potatoes, Onion, Lemon, Avocado, Beans, Garlic, Cumin, Honey, Tortilla, Sour Cream, Cilantro","Milk, Wheat","Veggie, Easy, Mexican, Kids-fave"
18,"Sweet-As-Honey Chicken","Chicken Breasts, Ginger, Garlic, Chicken Stock, Soy Sauce, Honey, Wine Vinegar, Basmati Rice, Lemon","Soy, Wheat","Medium, Asian, High protein"
19,"Teriyaki Salmon","Ginger, Lemon, Scallions, Salmon, Sesame Seeds, Teriyaki Sauce, Green Beans","Fish, Soy","Easy, Healthy, Fishetarian"
20,"Jammy Fig and Brie Grilled Cheese","Arugula, Rosemary, Brie, Balsamic Vinegar, Bread, Fig Jam, Mushrooms","Milk, Wheat","Veggie, Easy, Quick"
21,"Coconut Chicken Curry","Basmati Rice, Bell Pepper, Tomato Paste, Paprika, Curry Powder, Coconut Milk, Sour Cream, Scallions","Tree Nuts, Milk","Easy, Indian, Vegan, Low carbon intensive"
22,"Vegan Spicy Lemon Maple Tofu","Broccoli, Garlic, Tofu, Lemon, Cornstarch, Veggie Stock, Maple Syrup, Chili Flakes, Basmati Rice","Soy","Seasonal, Vegan, New"
23,"Patatas Bravas and Crispy Artichokes","Artichokes, Potatoes, Arugula, Tomato, Feta, Almonds, Mayonnaise, Wine Vinegar, Garlic, Green Olives, Almonds, Parsley","Soy, Milk, Tree Nuts, Eggs","Gluten-free, Spicy, Veggie, Medium"
